model,p1,p5,p10,p25,p50,p75,p90,p95,p99,mean,Yloss,death %
ldsize_fiscal_0.0,-1.273883837716745,-0.9438918808784369,0.3368137073844241,1.0880815863021476,1.8556374865590102,2.6963153764826355,3.44776161767803,3.4892937699337065,3.5550438785974325,1.781972960963007,0.524578950750661,0.36708218078191845
ldlength_fiscal_0.16666666666666666,-0.9175505047759418,-0.5988209959637044,0.6102221954165323,1.4647236219157365,2.286401646024375,2.982487873279843,3.700575669930525,3.7255707885871527,3.978181283856494,2.1140006443438177,0.606664242555386,0.30860175062318895
ldlength_fiscal_0.3333333333333333,-0.6941572710436353,-0.3581529174652,0.7556062874167364,1.7226168222230052,2.493772389931469,3.185266652162457,3.8976121481347565,3.924424931754965,4.309706961487535,2.3284127832520944,0.6437425867536127,0.2696320042632135
ldlength_fiscal_0.5,-0.6000677316493348,-0.24377303165006342,0.8708913282895316,1.8476928594698485,2.626229488175156,3.3482024668738104,4.040093032827832,4.068487959929539,4.446810510739011,2.4627938197398036,0.6735778735066913,0.23539783759287122
ldlength_fiscal_0.6666666666666666,-0.3248810777220636,0.059685526113237394,1.0958046728001323,2.141848816000867,2.9373222155690577,3.7463252570301604,4.430100306497344,4.4610738094532865,4.858242539753,2.7844478804614994,0.7116298682823211,0.2299377725841465
ldlength_fiscal_1.0,-0.04369350921918262,0.38295319329361643,1.359984903775432,2.511440996732716,3.329251614551292,4.192561575050387,4.902673736578132,4.935222321603927,5.35709183177578,3.1731779226185504,0.7887353214737,0.22441126440925163
ldlength_fiscal_1.3333333333333333,-0.16173642103233046,0.1088974848379932,1.4161751710245092,2.629237643842168,3.6894211926881124,4.653972656326649,5.437116451494751,5.466547382387784,5.933686155990267,3.4706251868140305,0.8682148645680124,0.22107271058156575
ldlength_fiscal_1.5,0.47905511096512554,1.0323017846385254,1.7452570491778059,2.965287035022631,3.9462027070269103,4.808065615585937,5.546260883041423,5.577383602140122,6.006904055777925,3.7493789986676775,0.8916092787424498,0.2189334235764063
ldlength_fiscal_2.0,0.9383654328729801,1.614548318056634,2.1190010269880566,3.377835519862102,4.503206194944564,5.407879672386031,6.099824065545946,6.2107975273137,6.577104091562374,4.264603799995158,0.988379427050152,0.21309992122892202
ldlength_fiscal_3.0,1.8172036680130603,2.649853184896325,2.8739632654502296,4.07951679543436,5.465633727658457,6.578256097287158,7.205802518739727,7.657978201470175,7.763821037615915,5.279959881290423,1.1897675654590205,0.19235512989535536
ldlength_fiscal_4.0,2.5148001583430277,3.2365828432916137,3.717412259406313,4.8066130041525925,6.241708825710776,7.70421850106818,8.144392002713666,8.624887054271833,9.0995965938166,6.148743302711932,1.3793582306477032,0.16703587639234485
ldlength_fiscal_4.5,2.7838434279742525,3.4830564456925117,4.070485539087623,5.172609384784488,6.580619163072916,8.209155159018033,8.557608229856775,9.054106220412576,9.713048757042596,6.530242004729802,1.4667669040657747,0.13671502025222665
ldlength_fiscal_5.0,2.8816056690398977,3.6130619852026644,4.203929950926794,5.347048371802538,6.684517846356363,8.412924333313033,8.687574139682088,9.127012608471059,10.092877477745935,6.6908341232432536,1.5124895271856205,0.07686766849483402
ldlength_fiscal_5.666666666666667,3.167842823311468,3.896947115312989,4.520879959273109,5.733842123619703,7.069985619142066,9.009434165994342,9.208300668909468,9.594787227422016,10.81605893309707,7.133543965520032,1.6210180825566172,0.048767538039078295
