,DATE,DRTSCIS
0,2000-01-31,9.4
1,2000-04-30,21.4
2,2000-07-31,23.6
3,2000-10-31,27.3
4,2001-01-31,45.5
5,2001-04-30,36.4
6,2001-07-31,31.6
7,2001-10-31,40.4
8,2002-01-31,41.8
9,2002-04-30,14.5
10,2002-07-31,5.5
11,2002-10-31,18.2
12,2003-01-31,13.8
13,2003-04-30,12.7
14,2003-07-31,3.5
15,2003-10-31,-1.8
16,2004-01-31,-10.9
17,2004-04-30,-19.3
18,2004-07-31,-3.6
19,2004-10-31,-18.2
20,2005-01-31,-13.0
21,2005-04-30,-24.1
22,2005-07-31,-11.1
23,2005-10-31,-5.3
24,2006-01-31,-7.1
25,2006-04-30,-7.0
26,2006-07-31,-1.8
27,2006-10-31,-1.9
28,2007-01-31,5.4
29,2007-04-30,1.9
30,2007-07-31,7.7
31,2007-10-31,9.6
32,2008-01-31,30.4
33,2008-04-30,51.8
34,2008-07-31,65.4
35,2008-10-31,74.5
36,2009-01-31,69.2
37,2009-04-30,42.3
38,2009-07-31,34.0
39,2009-10-31,16.1
40,2010-01-31,3.7
41,2010-04-30,0.0
42,2010-07-31,-9.1
43,2010-10-31,-7.1
44,2011-01-31,-1.9
45,2011-04-30,-13.5
46,2011-07-31,-7.8
47,2011-10-31,-6.3
48,2012-01-31,1.9
49,2012-04-30,-1.8
50,2012-07-31,-4.9
51,2012-10-31,-7.6
52,2013-01-31,-7.7
53,2013-04-30,-23.1
54,2013-07-31,-10.0
55,2013-10-31,-7.1
56,2014-01-31,-4.2
57,2014-04-30,-7.0
58,2014-07-31,-8.3
59,2014-10-31,-8.2
60,2015-01-31,-5.7
61,2015-04-30,-1.4
62,2015-07-31,-6.0
63,2015-10-31,1.5
64,2016-01-31,4.2
65,2016-04-30,5.8
66,2016-07-31,7.1
67,2016-10-31,-1.5
68,2017-01-31,0.0
69,2017-04-30,-2.9
70,2017-07-31,-4.1
71,2017-10-31,-8.8
72,2018-01-31,0.0
73,2018-04-30,-3.0
74,2018-07-31,-7.6
75,2018-10-31,-3.1
76,2019-01-31,4.3
77,2019-04-30,0.0
78,2019-07-31,-5.8
79,2019-10-31,5.6
80,2020-01-31,-1.4
81,2020-04-30,39.7
82,2020-07-31,70.0
83,2020-10-31,31.3
